year,age,sex,notifications
2022,35-39,Female,10359
2022,35-39,Male,6218
2022,35-39,Other/unknown,23
2022,40-44,Female,7586
2022,40-44,Male,5354
2022,40-44,Other/unknown,21
2022,45-49,Female,5142
2022,45-49,Male,4093
2022,45-49,Other/unknown,9
2022,50-54,Female,4408
2022,50-54,Male,3393
2022,50-54,Other/unknown,15
2022,55-59,Female,3664
2022,55-59,Male,2902
2022,55-59,Other/unknown,10
2022,60-64,Female,3543
2022,60-64,Male,2681
2022,60-64,Other/unknown,7
2022,65-69,Female,2531
2022,65-69,Male,2057
2022,65-69,Other/unknown,3
2022,70-74,Female,2136
2022,70-74,Male,1852
2022,70-74,Other/unknown,2
2022,75-79,Female,1639
2022,75-79,Male,1519
2022,75-79,Other/unknown,3
2022,80-84,Female,1202
2022,80-84,Male,1137
2022,80-84,Other/unknown,1
2022,85+,Female,1656
2022,85+,Male,1083
2022,85+,Other/unknown,11
2022,NA,Female,5
2022,NA,Male,5
2022,NA,Other/unknown,2
2023,00-04,Female,16089
2023,00-04,Male,18328
2023,00-04,Other/unknown,37
2023,05-09,Female,24045
2023,05-09,Male,27976
2023,05-09,Other/unknown,56
2023,10-14,Female,14611
2023,10-14,Male,18633
2023,10-14,Other/unknown,36
2023,15-19,Female,10474
2023,15-19,Male,10821
2023,15-19,Other/unknown,28
2023,20-24,Female,6663
2023,20-24,Male,5514
2023,20-24,Other/unknown,21
2023,25-29,Female,7898
2023,25-29,Male,5344
2023,25-29,Other/unknown,26
2023,30-34,Female,10896
2023,30-34,Male,6897
2023,30-34,Other/unknown,28
2023,35-39,Female,12430
2023,35-39,Male,7968
2023,35-39,Other/unknown,30
2023,40-44,Female,10604
2023,40-44,Male,7902
2023,40-44,Other/unknown,17
2023,45-49,Female,7087
2023,45-49,Male,5733
2023,45-49,Other/unknown,8
2023,50-54,Female,6010
2023,50-54,Male,4901
2023,50-54,Other/unknown,12
2023,55-59,Female,4700
2023,55-59,Male,3927
2023,55-59,Other/unknown,3
2023,60-64,Female,4355
2023,60-64,Male,3526
2023,60-64,Other/unknown,4
2023,65-69,Female,3766
2023,65-69,Male,3002
2023,65-69,Other/unknown,5
2023,70-74,Female,3150
2023,70-74,Male,2617
2023,70-74,Other/unknown,1
2023,75-79,Female,2675
2023,75-79,Male,2370
2023,80-84,Female,1920
2023,80-84,Male,1645
2023,80-84,Other/unknown,2
2023,85+,Female,2394
2023,85+,Male,1632
2023,85+,Other/unknown,2
2023,NA,Female,12
2023,NA,Male,20
2023,NA,Other/unknown,11
2024,00-04,Female,23109
2024,00-04,Male,25683
2024,00-04,Other/unknown,67
2024,05-09,Female,24694
2024,05-09,Male,27738
2024,05-09,Other/unknown,69
2024,10-14,Female,15002
2024,10-14,Male,18921
2024,10-14,Other/unknown,32
2024,15-19,Female,11773
2024,15-19,Male,10931
2024,15-19,Other/unknown,30
2024,20-24,Female,10115
2024,20-24,Male,7439
2024,20-24,Other/unknown,28
2024,25-29,Female,11999
2024,25-29,Male,7683
2024,25-29,Other/unknown,35
2024,30-34,Female,13616
2024,30-34,Male,8313
2024,30-34,Other/unknown,32
2024,35-39,Female,14490
2024,35-39,Male,9385
2024,35-39,Other/unknown,33
2024,40-44,Female,12196
2024,40-44,Male,9278
2024,40-44,Other/unknown,17
2024,45-49,Female,9089
2024,45-49,Male,7470
2024,45-49,Other/unknown,9
2024,50-54,Female,8573
2024,50-54,Male,7082
2024,50-54,Other/unknown,7
2024,55-59,Female,7449
2024,55-59,Male,6129
2024,55-59,Other/unknown,15
2024,60-64,Female,7231
2024,60-64,Male,5945
2024,60-64,Other/unknown,4
2024,65-69,Female,5870
2024,65-69,Male,4828
2024,65-69,Other/unknown,2
2024,70-74,Female,5139
2024,70-74,Male,4405
2024,70-74,Other/unknown,6
2024,75-79,Female,4530
2024,75-79,Male,4071
2024,75-79,Other/unknown,7
2024,80-84,Female,3394
2024,80-84,Male,3066
2024,80-84,Other/unknown,3
2024,85+,Female,4696
2024,85+,Male,3165
2024,85+,Other/unknown,19
2024,NA,Female,3
2024,NA,Male,4
2024,NA,Other/unknown,3
